,,,,,,,,Στην περίπτωση αυτή το energy cost είναι η τιμή που έχει συμφωνηθεί στο PPA,,,,,,,,,4000,,2,,,,3,4,,,,,,,,,,,,,,,,,,,
P Installed (kWp),Unit Cost (€/kWp),Specific Yield (kWh/kWp),Monthly Consumption (kWh),Annual Consumption (kWh),Equity ,Years,interest rate,Energy Cost (€/MWh),Energy Cost Regulated (€/MWh),Loan Interest,Interest rate project,Loan ,Annual Production (kWh),Annual Degradation,O&M (€/kWp/year),Land Lease (€/year),Development Costs EUNILAB (€),Connection Cost HEDNO (€),insurance €/year,Adm Expenses (€/year),OPEX other (€/year),Annual Expenses escalation ,Bank expenses (€),Contigency (€),Taxes (%),Advance payment of taxes (%),Cost annual decrease (%),Min marginal price (€/MWh),PPA price (€/MWh),,,,,,,,,,,,,,
400,600,1465,741666.6666666666,8900000,0.2,10,0.028,70,45,0.03,0.02432,0.8,586000,0.007,6,0,1600,2000,800,2000,0,0.03,1200,1600,0.22,0.95,0,45,45,,,,,,,,,,,,,,
240000,192000,,24722.222222222223,,,,,,,,,,1123.835616438356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery energy capacity (kWh),Unit Cost (€/kWh),synchronization (%),18541.666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,500,0.7,18291.666666666668,,,,,physical,0,0 or 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,Years,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Taxes,,,,5827.844,5834.476430577934,5843.436907212051,5854.773079145921,5868.533976363862,5884.770045640022,5903.533187546581,5924.876794446132,5948.855789494167,5975.5266666780135,10612.627531919496,10507.618754691179,10401.638480128318,10294.642311948994,10186.584628742377,10077.41854646751,9967.095879832365,9855.567102519362,9742.781306222927,9628.686158463206,9513.227859139313,9396.351095784252,9277.998997482442,9158.113087409803,9036.63323395497,
,,,,,,,,,,,,,,in advance,,,,5536.4518,5542.752609049036,5551.265061851448,5562.0344251886245,5575.107277545669,5590.53154335802,5608.356528169252,5628.632954723826,5651.413000019458,5676.750333344113,10081.99615532352,9982.23781695662,9881.556556121903,9779.910196351544,9677.255397305258,9573.547619144134,9468.741085840746,9362.788747393393,9255.64224091178,9147.251850540046,9037.566466182347,8926.533540995038,8814.099047608319,8700.207433039313,8584.801572257222,
,,,,,,,,,,,,,,taxes paid,,,,11364.2958,5840.777239626971,5851.949360014462,5865.542442483097,5881.606828720906,5900.194311452373,5921.358172357812,5945.153221000706,5971.6358347898,6000.864000002668,15017.873353898904,10407.860416324276,10300.957219293601,10192.995952178635,10083.92982969609,9973.710768306386,9862.289346528974,9749.614764072008,9635.634799741312,9520.29576809147,9403.542474781612,9285.318170596944,9165.56450409572,9044.221472840798,8921.22737317288,
,,,,,,,,,,,,,,Target Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Reserve Filling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Equity,Net Cash Flow,,,-49280,20635.582352932826,25715.960913305855,25258.97877291837,24796.751180589727,24329.069211260943,23855.718248276105,23376.47781462779,22891.12139929434,22399.416278525976,21901.123331931445,34690.14270028062,38822.84301409018,38448.01769038058,38069.63273849861,37687.52757367835,37301.537170182295,36911.49192543632,36517.21752010691,36118.53477399927,35715.25949765038,35307.202339487994,34894.16862842238,34475.95821173357,34052.36528811286,33623.17823571335,
,,,,,,,,,,,,,,,,,-49280,-28644.417647067174,-2928.456733761319,22330.52203915705,47127.27321974678,71456.34243100772,95312.06067928384,118688.53849391162,141579.65989320597,163979.07617173195,185880.1995036634,220570.34220394402,259393.1852180342,297841.20290841477,335910.8356469134,373598.36322059174,410899.900390774,447811.3923162103,484328.60983631725,520447.1446103165,556162.4041079669,591469.6064474549,626363.7750758773,660839.7332876109,694892.0985757238,728515.2768114372,
,,,,,,,,,,,,,,NPV,487448.8730234647,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Repayment Year,3,,,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,0,0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,Equity IRR,0.4815824780816538,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Project,Net Cash Flow,,,-246400,20635.582352932826,25715.960913305855,25258.97877291837,24796.751180589727,24329.069211260943,23855.718248276105,23376.47781462779,22891.12139929434,22399.416278525976,21901.123331931445,34690.14270028062,38822.84301409018,38448.01769038058,38069.63273849861,37687.52757367835,37301.537170182295,36911.49192543632,36517.21752010691,36118.53477399927,35715.25949765038,35307.202339487994,34894.16862842238,34475.95821173357,34052.36528811286,33623.17823571335,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,NPV,290328.8730234647,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Repayment Year,11,,,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,Project IRR,0.1028291334338971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Sensitivity Analysis Repayment Year (Equity),,,,Sensitivity Analysis Repayment Year (Project),,,,,,Sensitivity Analysis Equity IRR,,,,,Sensitivity Analysis Project IRR,,,,,,,,,,,,,,,
