,,,,,,,,,,,,,,,,,4000,,2,,,,3,4,,,,,,,,,,,,,,,,,,,
P Installed (kWp),Unit Cost (€/kWp),Specific Yield (kWh/kWp),Monthly Consumption (kWh),Annual Consumption (kWh),Equity ,Years,interest rate,Energy Cost (€/MWh),Energy Cost Regulated (€/MWh),Loan Interest,Interest rate project,Loan ,Annual Production (kWh),Annual Degradation,O&M (€/kWp/year),Land Lease (€/year),Development Costs EUNILAB (€),Connection Cost HEDNO (€),insurance €/year,Adm Expenses (€/year),OPEX other (€/year),Annual Expenses escalation ,Bank expenses (€),Contigency (€),Taxes (%),Advance payment of taxes (%),Cost annual decrease (%),Min marginal price (€/MWh),,,,,,,,,,,,,,,
8000,700,1500,975000,11700000,1,10,0.028,70,45,0.03,0.028,0,12000000,0.007,6,0,32000,2000,16000,2000,0,0.03,24000,32000,0.22,0.95,0.05,45,,,,,,,,,,,,,,,
5600000,4480000,,32500,,,,,,,,,,23013.698630136983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery energy capacity (kWh),Unit Cost (€/kWh),synchronization (%),24375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,500,0.7,24125,,,,,physical,0,0 or 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,Years,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,in advance,,,,132590.01799999998,122230.72399999999,112422.42650209999,103132.835829366,94331.45924330968,85989.49817917285,78079.75127378819,70576.5228569966,63455.53659621126,58771.663925134184,158572.95287564181,157280.3849276554,155976.28779468924,154660.12486621964,153331.34476855214,151989.38091258015,150633.65102804222,149263.55668387152,147878.48279422085,146477.79710973185,145060.8496936063,143626.9723820229,142175.4782284288,140705.6609312223,139216.79424432793,
,,,,,,,,,,,,,,taxes paid,,,,272158.458,118304.62599999999,108531.09882010001,99271.28914765126,90494.8963016381,82173.30017709773,74279.46496176081,66787.84827478378,59674.31541943704,57181.036723801015,266720.1867143411,164265.73197586142,162881.4689667067,161483.96850965632,160072.63544817682,158646.85815727027,157206.008039717,155749.43900727303,154276.4869463713,152786.46916786028,151278.68384030214,149752.40940633553,148206.9039815941,146641.40473565907,145055.12725450352,
,,,,,,,,,,,,,,Target Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Reserve Filling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Equity,Net Cash Flow,,,-5690000,879841.542,984129.3740000001,946973.2480798999,911785.2554904636,878449.7986424274,846857.7054648777,816905.8617070823,788496.8639596497,761538.6922179374,741621.0968892812,525950.0758485384,622219.9949507196,617364.5587590791,612464.6289363706,607518.1624874794,602523.06008474,597477.1643432601,592378.2580447438,587224.062308274,582012.2347064547,576740.3673252781,571405.984766023,566006.5420874433,560539.4226864572,555001.9361154867,
,,,,,,,,,,,,,,,,,-5690000,-4810158.458,-3826029.084,-2879055.8359201,-1967270.5804296364,-1088820.781787209,-241963.07632233133,574942.7853847509,1363439.6493444005,2124978.341562338,2866599.4384516194,3392549.514300158,4014769.5092508774,4632134.068009957,5244598.696946328,5852116.859433807,6454639.919518547,7052117.083861807,7644495.341906551,8231719.4042148255,8813731.63892128,9390472.006246557,9961877.99101258,10527884.533100024,11088423.955786481,11643425.891901968,
,,,,,,,,,,,,,,NPV,7118763.676448347,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Repayment Year,7,,,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,Equity IRR,0.1359471315902836,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Project,Net Cash Flow,,,-5690000,879841.542,984129.3740000001,946973.2480798999,911785.2554904636,878449.7986424274,846857.7054648777,816905.8617070823,788496.8639596497,761538.6922179374,741621.0968892812,525950.0758485384,622219.9949507196,617364.5587590791,612464.6289363706,607518.1624874794,602523.06008474,597477.1643432601,592378.2580447438,587224.062308274,582012.2347064547,576740.3673252781,571405.984766023,566006.5420874433,560539.4226864572,555001.9361154867,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,NPV,7118763.676448347,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Repayment Year,7,,,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
